date,closing_price,starting_price,high_price,low_price,trans_thd,trans_vol_mil,mkt_cap_mil
2009/05/19,1428.21,1416.95,1428.21,1411.89,767835,7668652,739991677
2009/05/20,1435.70,1427.98,1436.92,1424.60,698912,6738850,744210004
2009/05/21,1421.65,1431.03,1433.07,1412.73,867644,7893554,737226097
2009/05/22,1403.75,1406.27,1431.32,1402.80,676837,7863533,728868124
2009/05/25,1400.90,1393.99,1414.14,1315.21,825371,8630339,727369069
2009/05/26,1372.04,1407.58,1409.29,1361.58,684649,8215082,712335498
2009/05/27,1362.02,1394.74,1396.77,1360.30,786694,8209178,707443343
2009/05/28,1392.17,1355.89,1392.17,1345.10,657878,7347899,723169711
2009/05/29,1395.89,1393.25,1398.44,1380.68,549746,7057542,725874520
2009/06/01,1415.10,1394.92,1415.10,1384.45,558960,6350364,735825827
2009/06/02,1412.85,1437.15,1437.76,1411.62,705294,8291984,734560797
2009/06/03,1414.89,1423.80,1427.05,1402.76,731509,7355229,735515316
2009/06/04,1378.14,1410.24,1411.11,1375.94,583311,6956173,716470836
2009/06/05,1394.71,1392.63,1394.71,1373.24,511501,5974012,724919033
2009/06/08,1393.30,1394.23,1411.27,1387.41,516708,5442691,724245718
2009/06/09,1371.84,1406.66,1410.00,1371.52,485671,5916610,713263638
2009/06/10,1414.88,1379.61,1414.88,1376.46,501867,6067327,735426730
2009/06/11,1419.39,1411.92,1435.28,1407.50,490784,7040361,737859354
2009/06/12,1428.59,1428.87,1436.23,1416.50,508571,5358263,742977643
2009/06/15,1412.42,1427.75,1427.75,1401.19,434554,4985137,734782673
2009/06/16,1399.15,1394.70,1410.01,1389.33,473881,4608363,727851535
2009/06/17,1391.17,1391.97,1397.21,1384.13,456091,4639366,723974975
2009/06/18,1375.76,1390.22,1396.75,1371.38,502154,4539043,715959792
2009/06/19,1383.34,1386.52,1388.75,1369.76,471006,4333950,720042605
2009/06/22,1399.71,1381.85,1399.92,1379.75,410178,4314990,728572220
2009/06/23,1360.54,1369.87,1374.44,1354.98,509170,5025014,704612048
2009/06/24,1363.79,1366.01,1370.00,1350.31,436479,4581788,706270276
2009/06/25,1392.73,1366.78,1402.35,1366.78,449174,5231754,721449314
2009/06/26,1394.53,1401.57,1404.01,1388.38,425874,4823898,722525578
2009/06/29,1388.45,1399.64,1408.94,1386.03,426318,4040765,719297665
2009/06/30,1390.07,1402.30,1409.10,1385.76,473132,4815562,720211903
2009/07/01,1411.66,1386.33,1414.79,1381.09,505528,5214689,731195052
2009/07/02,1411.48,1419.15,1419.15,1403.18,464119,4756159,731194913
2009/07/03,1420.04,1389.93,1420.04,1389.39,398643,4131633,735554726
2009/07/06,1428.94,1419.17,1434.31,1416.20,384595,4578325,740571307
2009/07/07,1434.20,1434.47,1439.57,1426.95,456758,5047764,743436837
2009/07/08,1431.02,1424.92,1431.02,1412.68,435417,5082495,741691725
2009/07/09,1430.89,1428.74,1443.81,1426.41,437278,5712933,741765276
2009/07/10,1428.62,1435.52,1436.50,1415.99,456473,4729725,741012305
2009/07/13,1378.12,1426.31,1426.31,1378.12,446682,5016392,715037363
2009/07/14,1385.56,1400.53,1402.00,1377.60,426814,5021898,719067309
2009/07/15,1420.86,1402.76,1422.41,1402.28,398395,5279848,737504160
2009/07/16,1432.22,1438.02,1442.10,1426.51,423962,5538956,743794301
2009/07/17,1440.10,1443.49,1445.60,1432.80,403677,4528026,747892684
2009/07/20,1478.51,1447.85,1480.49,1447.11,505043,6270005,767775465
2009/07/21,1488.99,1489.45,1496.87,1480.64,514660,6722693,773562939
2009/07/22,1494.04,1492.37,1496.49,1485.04,506894,6074654,776463649
2009/07/23,1496.49,1495.39,1504.70,1484.83,642853,6694779,777804720
2009/07/24,1502.59,1508.32,1510.82,1496.89,533012,6451429,780411111
2009/07/27,1524.05,1510.75,1529.26,1505.85,504075,6896269,791525729
2009/07/28,1526.03,1521.49,1528.55,1518.50,431427,5593915,792323225
2009/07/29,1524.32,1524.08,1529.80,1516.03,486410,6196531,791495163
2009/07/30,1534.74,1524.56,1535.36,1511.13,431269,5567756,796778813
2009/07/31,1557.29,1543.05,1559.07,1536.86,466526,7345685,808503556
2009/08/03,1564.98,1561.94,1570.01,1554.77,490194,6909525,813421016
2009/08/04,1566.37,1576.95,1586.12,1558.47,589855,8236678,814246663
2009/08/05,1559.47,1571.71,1575.03,1557.79,494913,6058886,810488509
2009/08/06,1565.04,1555.64,1572.17,1546.50,492250,6133405,813531017
2009/08/07,1576.00,1563.13,1576.80,1559.18,477559,5720995,819038422
2009/08/10,1576.11,1585.35,1588.15,1573.22,490583,5693518,818995290
